S.N,Item (English),الصنف (Arabic),Unit,Price,Google Drive Link,Category,Stock
1,Apple Gala 1000 G,تفاح سكري,Kg,7,https://drive.google.com/uc?export=view&id=14raaz2yPcxGv4PLTCxyA2SqNDXJikXoi,fruits,100
2,Apple Green 1000 G,تفاح اخضر,Kg,7,https://drive.google.com/uc?export=view&id=1x_4VWYYveuiwJtVdfNLReIithJO2JzGI,fruits,85
3,Apple Red 1000 G,تفاح احمر,Kg,7.5,https://drive.google.com/uc?export=view&id=1s3WUV0dJ_3GYKa7_XV7BeTKfzl1iq__b,fruits,90
4,Apple Yellow 1000 G,تفاح اصفر,Kg,7,https://drive.google.com/uc?export=view&id=1JTO_fu2XlCN3-wFNV3OuN-SOPDgnGKUK,fruits,75
5,Apricot 1000 G,مشمش,Kg,16,https://drive.google.com/uc?export=view&id=1nGeZ4RDnJ-P-n30KM3JUgZFEy2hbHXE3,fruits,60
6,Arabic leeks (Kurath),كراث,pc,1.5,https://drive.google.com/uc?export=view&id=1bYMbxIhe8e1kSLSR24DCxhF9YCCBk5UX,vegetables,200
7,Banana 1000 G,موز,Kg,6.5,https://drive.google.com/uc?export=view&id=1C4X6hYllVzFnei9q-pGR5ET3GzCmN8hc,fruits,120
8,Beans Green Fresh 1000 G,فاصوليا خضراء,Kg,8,https://drive.google.com/uc?export=view&id=1hOScKwXU6b7Z7xPVst4u3oBCHfTRbRGc,vegetables,80
9,Beet Root Local 1000 G,بنجر,Kg,5,https://drive.google.com/uc?export=view&id=1t5GnOEdjJX6RB4E2gxUoTQ8ceEix_LLt,vegetables,70
10,Bell Pepper Green 1000 G LOCAL,رومي اخضر,Kg,6,https://drive.google.com/uc?export=view&id=1cw_hNecLBH1l-QqW26K18rR77Amz7hd3,vegetables,95
11,Bell Pepper Red 1000 G LOCAL,رومي احمر,Kg,8,https://drive.google.com/uc?export=view&id=1g_Ymd4KHPMyhlgtJzUCVoxaCw8Qgk29_,vegetables,85
12,Bell pepper Yellow 1000 G LOCAL,رومي اصفر,Kg,8,https://drive.google.com/uc?export=view&id=1HWgl4vQ7-yyD13LJH9Leyi7ZmOmZo8fb,vegetables,80
13,Bitter Gourd (karela) 1000 G,كرلا,Kg,6.5,https://drive.google.com/uc?export=view&id=1NAapL0Lss9vg4VqST9-BbdmHZDZ3QChT,vegetables,50
14,Broccoli Local 1000 G,بركلي,Kg,16,https://drive.google.com/uc?export=view&id=1H1hPMaQrc4fHZJpypn8k3W8r1x4RPoOg,vegetables,65
15,Cabbage Red Local 1000 G,ملفوف احمر,Kg,4.5,https://drive.google.com/uc?export=view&id=1GmaS_f37r1vSWu_rrhSi71YWPH5I41Gr,vegetables,110
16,Cabbage White Local 1000 G,ملفوف ابيض,Kg,3.5,https://drive.google.com/uc?export=view&id=1yZGiLqEPln5Lk_nO5uuyLMdiegf0wZ8S,vegetables,130
